system:index,Annual_rai,Aspect_Mad,DEM_Mada_R,Dist_sett,GFW_defory,JRC_defory,JRC_degrady,MERGE_SRC,Slope_Mada,X,Y,dist_defor,dist_edge_,dist_river,dist_route,dist_track,popdens_ma,pressure_s,treated_An,treated_CF,treated_CZ,treated_TT,treeloss19,unique_id,.geo
00000000000000001326_00000000000000001326_0_00000000000000001326_0_00000000000000001326_0,1678.0,78.690071106,999.0,4527.61523438,2017,2020,2017,CFAM3,6.06376504898,855555.0,7916865.0,1315.90270996,437.0,4175.28417969,10344.4765625,2276.83984375,0.0173669978976,45852.2382813,0,35259,0,0,17.0,sample_233,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001327_00000000000000001327_0_00000000000000001327_0_00000000000000001327_0,1678.0,248.385223389,992.0,4553.87744141,2016,2016,0,CFAM3,13.362200737,855705.0,7916865.0,1210.82617188,420.0,4133.58203125,10259.5175781,2135.06445313,0.0178283322603,45784.171875,0,35260,0,0,16.0,sample_234,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000132a_0000000000000000132a_0_0000000000000000132a_0_0000000000000000132a_0,1704.0,212.471191406,984.0,5059.42675781,2015,2020,2015,CFAM3,6.20105361938,857205.0,7916865.0,964.209533691,277.0,4006.20776367,9498.82617188,823.771789551,0.0166066940874,45314.0664063,0,35270,0,0,15.0,sample_237,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001331_00000000000000001331_0_00000000000000001331_0_00000000000000001331_0,1725.0,36.2538375854,989.0,4441.62109375,2017,0,2017,CFAM3,4.43181991577,858405.0,7916865.0,1467.5489502,30.0,4207.38623047,8670.46679688,189.736663818,0.0158510580659,45027.2148438,0,35278,0,0,17.0,sample_244,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001303_00000000000000001303_0_00000000000000001303_0_00000000000000001303_0,1678.0,72.0720825195,1009.0,4675.76708984,2023,2023,0,CFAM3,16.583152771,855555.0,7917015.0,1422.70874023,295.0,4032.18310547,10467.9365234,2328.6262207,0.0178877171129,45862.78125,0,35673,0,0,0.0,sample_260,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001304_00000000000000001304_0_00000000000000001304_0_00000000000000001304_0,1678.0,309.957550049,995.0,4701.20214844,2017,0,2016,CFAM3,11.3719148636,855705.0,7917015.0,1326.12219238,270.0,3988.98486328,10383.9873047,2190.20556641,0.017986478284,45794.3828125,0,35674,0,0,17.0,sample_261,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001307_00000000000000001307_0_00000000000000001307_0_00000000000000001307_0,1704.0,203.19859314,976.0,5062.5390625,2015,0,2015,CFAM3,3.63139367104,856905.0,7917015.0,1063.20275879,192.0,3840.46875,9769.50390625,1157.62683105,0.0169053245336,45400.2226563,0,35682,0,0,15.0,sample_264,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001309_00000000000000001309_0_00000000000000001309_0_00000000000000001309_0,1704.0,260.537689209,1010.0,5192.42724609,2015,2020,2015,CFAM3,5.78883218765,857205.0,7917015.0,1113.6427002,134.0,3856.83813477,9632.99023438,906.972961426,0.0166978407651,45321.5273438,0,35684,0,0,15.0,sample_266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000130e_0000000000000000130e_0_0000000000000000130e_0_0000000000000000130e_0,1704.0,358.210083008,991.0,4890.09179688,2015,2022,2015,CFAM3,14.9383802414,857955.0,7917015.0,1291.39465332,256.0,3953.85888672,9123.15722656,256.320098877,0.0156287755817,45133.7109375,0,35689,0,0,15.0,sample_271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000130f_0000000000000000130f_0_0000000000000000130f_0_0000000000000000130f_0,1704.0,304.875335693,1015.0,4770.37744141,2015,2021,2015,CFAM3,9.51443099976,858105.0,7917015.0,1374.11791992,120.0,3987.29223633,9001.25,120.0,0.0155257098377,45091.703125,0,35690,0,0,15.0,sample_272,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001310_00000000000000001310_0_00000000000000001310_0_00000000000000001310_0,1704.0,107.744674683,994.0,4652.41894531,2015,2020,2015,CFAM3,12.3385448456,858255.0,7917015.0,1467.5489502,30.0,4023.69238281,8880.203125,0.0,0.015565241687,45071.4296875,0,35691,0,0,15.0,sample_273,"{""type"":""MultiPoint"",""coordinates"":[]}"
